ux,uy,uz,Ts,CO2,H2O
 -0.587750, -3.137000, -1.237250,  8.887862, 16.940000,407.100000
 -0.628500, -3.126750, -0.977500,  8.906322, 16.940000,407.600000
 -0.551000, -3.135750, -1.231000,  8.881165, 16.930000,408.200000
 -0.017500, -2.867250, -1.258000,  8.919719, 16.920000,408.800000
 -0.689250, -2.783250, -0.916000,  8.864444, 16.930000,409.300000
 -0.634000, -2.858750, -0.929750,  8.953214, 16.930000,409.800000
 -0.824750, -3.150500, -0.725250,  8.924730, 16.930000,409.400000
 -1.048500, -3.220250, -0.768250,  8.931429, 16.930000,409.500000
 -0.971000, -3.166750, -0.816750,  8.879528, 16.930000,408.200000
 -0.372500, -3.220000, -0.737500,  8.894561, 16.930000,408.100000
 -0.234250, -2.715000, -0.851500,  8.926418, 16.930000,406.700000
 -0.329500, -2.582500, -0.825250,  8.968300, 16.930000,408.200000
  0.304750, -2.389500, -0.595750,  8.884539, 16.930000,408.800000
  0.461000, -2.552250, -0.627750,  8.973363, 16.920000,409.600000
  0.226000, -2.391250, -0.318500,  8.938128, 16.930000,409.300000
  0.760250, -2.955500, -0.285250,  8.998473, 16.930000,409.200000
  0.660250, -2.912750, -0.291000,  9.013560, 16.930000,408.700000
  0.088500, -2.781750, -0.334500,  9.042048, 16.920000,410.400000
 -0.038750, -2.456000, -0.301250,  9.072226, 16.920000,409.900000
  0.154250, -2.649250, -0.728500,  9.035349, 16.920000,411.300000
  0.399750, -2.225000, -0.662500,  9.026960, 16.910000,411.500000
  0.500500, -2.119750, -0.551250,  9.001849, 16.920000,411.000000
  0.440750, -1.999750, -0.482750,  9.030336, 16.910000,410.800000
  0.261000, -2.177250, -0.522750,  8.998473, 16.920000,410.900000
  0.117500, -2.170500, -0.458250,  9.023636, 16.920000,411.300000
 -0.366250, -1.977250, -0.310500,  9.045424, 16.940000,406.600000
 -0.240000, -2.297500, -0.484750,  9.035349, 16.940000,406.400000
 -0.370500, -2.566000, -0.578500,  9.067213, 16.920000,409.200000
 -0.209500, -2.789500, -0.887500,  8.998473, 16.930000,409.200000
 -0.232500, -2.986750, -0.733000,  8.986762, 16.920000,410.100000
 -0.544750, -3.358000, -0.639500,  8.891237, 16.920000,410.000000
 -0.541250, -3.049000, -0.882500,  8.820883, 16.930000,409.400000
 -0.409000, -2.855000, -1.006500,  8.850997, 16.930000,409.100000
 -0.366250, -2.963000, -1.045750,  8.814185, 16.940000,406.900000
 -0.639000, -2.952250, -1.050250,  8.661748, 16.940000,407.000000
